G_true,G_guess,SHD,SID
21,20,32,1970
20,21,32,404
22,20,63,3528
20,22,63,943
22,21,31,1786
21,22,31,620
23,20,1559,7880
20,23,1559,8163
23,21,1573,7859
21,23,1573,8164
23,22,1588,7839
22,23,1588,8251
24,20,1562,7880
20,24,1562,8159
24,21,1574,7859
21,24,1574,8160
24,22,1589,7839
22,24,1589,8247
24,23,27,1118
23,24,27,838
25,20,1579,8053
20,25,1579,8134
25,21,1591,8032
21,25,1591,8135
25,22,1606,8009
22,25,1606,8222
25,23,58,3224
23,25,58,929
25,24,31,2198
24,25,31,167
26,20,2357,8665
20,26,2357,6467
26,21,2361,8644
21,26,2361,6555
26,22,2368,8627
22,26,2368,6569
26,23,2464,8708
23,26,2464,6331
26,24,2465,8703
24,26,2465,6328
26,25,2464,8676
25,26,2464,6340
27,20,2357,8665
20,27,2357,6571
27,21,2361,8644
21,27,2361,6659
27,22,2368,8627
22,27,2368,6673
27,23,2446,8708
23,27,2446,6345
27,24,2447,8703
24,27,2447,6342
27,25,2446,8676
25,27,2446,6353
27,26,40,738
26,27,40,1436
28,20,2337,8665
20,28,2337,6591
28,21,2339,8644
21,28,2339,6679
28,22,2346,8627
22,28,2346,6693
28,23,2428,8708
23,28,2428,6367
28,24,2429,8703
24,28,2429,6364
28,25,2428,8676
25,28,2428,6376
28,26,78,1258
26,28,78,2947
28,27,38,526
27,28,38,1686
29,20,2490,8656
20,29,2490,6226
29,21,2494,8635
21,29,2494,6236
29,22,2493,8618
22,29,2493,6238
29,23,2465,8603
23,29,2465,6107
29,24,2466,8598
24,29,2466,6107
29,25,2471,8571
25,29,2471,6198
29,26,2453,7005
26,29,2453,7111
29,27,2455,7019
27,29,2455,7111
29,28,2451,7041
28,29,2451,7111
